"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FWQU653M","book","1856","Springer, John S.","Forest Life and Forest Trees: Comprising Winter Camp-Life Among the Loggers and Wild-Wood Adventure, with Descriptions of Lumbering Operations on the Various Rivers of Maine and New Brunswick","","","","","https://www.canadiana.ca/view/oocihm.47610","Clergy, Forestry, Lumber camps","1856","2022-01-19 18:34:59","2022-01-19 18:34:59","","","259","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 47610","","","","Harper & Bros.","New York, NY","English","","","UNBF (1851), NSLegLib (1851)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HXJ7TTI","book","2016","Spears, Steven","A Journey with the Lady","","","","","","Pagan, Poetry","2016","2022-01-19 18:34:59","2022-01-19 18:34:59","","","158","","","","","","","","","","CreateSpace Independent Publishing Platform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z28NP45M","book","1926","Stackhouse, Perry J.","Bible Dramas in the Pulpit","","","","","","Baptist","1926","2022-01-19 18:34:59","2022-01-19 18:34:59","","","153","","","","","","","","","","Judson Press","Philadelphia, PA","","","","Acadia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J6IMMFM4","book","1832","Stanley, Jacob","The Nature, Mode and Subjects of Baptism Examined","","","","","https://catalog.hathitrust.org/Record/100281532","Baptism, Reprints","1832","2022-01-19 18:34:59","2022-01-19 18:34:59","","","17","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 48674","","","","Thomas Stanley; re-printed by Durant & Sancton","St. John, NB","","","","NBM, UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJKXARF4","book","1891","","Hymns and Carols, Old and New (Annotated), for the Sunday School and Home, Together with a Short Liturgy","","","","","","Anglican","1891","2022-01-19 18:34:59","2022-01-19 18:34:59","","","365","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 34998","","","","J. & A. McMillan","Saint John, NB","","","","MtA, Acadia, UNBF (mic, 1983)","","","","","","","","","","Stevens, Lorenzo G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR2E2PX7","book","1972","Stewart, Gordon T.; Rawlyk, George A.","A People Highly Favoured of God; the Nova Scotia Yankees and the American Revolution","","978-0-208-01283-8","","","","","1972","2022-01-19 18:34:59","2022-01-19 18:34:59","","","219","","","","","","","","","","Archon Books","[Hamden, CT]","English","","","UNBSJ, Legislative Library Fredericton, MtA, Acadia, UKing’sColl, Dalhousie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XTXYMQZF","book","1850","Thomson, John","The Prayer of Jesus for the Oneness of His People: Being the Substance of Discourses, Delivered in St. Stephen's Hall, in the City of St. John","","","","","https://catalog.hathitrust.org/Record/100283587","","1850","2022-01-19 18:34:59","2022-01-19 18:34:59","","","28","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 53023","","","","Chubb & Co.","Saint John, NB","English","","","Dalhousie, UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVLSU9FI","book","1901","","The Jesuit Relations and Allied Documents: Travels and Explorations of the Jesuit Missionaries in New France, 1610-1701","","","","","https://catalog.hathitrust.org/Record/100251464","Catholic, Jesuits, Missions, Sources, Volume 3 deals with Acadia","1901","2022-01-19 18:34:59","2022-01-19 18:34:59","","","404","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 07605","","","","Burrows","Cleveland, OH","English","","","Dalhousie","","","","","","","","","","Thwaites, Reuben G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TARSYA8B","journalArticle","1952","Tremblay, Marcel","Les Eudistes et le développement de l'église en Acadie","Rapport: La Société Canadienne d'Histoire de l'Eglise Catholique","","","","","Catholic, Missions","1952","2022-01-19 18:34:59","2022-01-19 18:34:59","","27-34","","","","","","","","","","","","","","","","UdeM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YIGZQ98Q","journalArticle","1987","Nason-Clark, Nancy","Are Women Changing the Image of Ministry? A Comparison of British and American Realities","Review of Religious Research","","0034-673X","10.2307/3511638","https://login.proxy.hil.unb.ca/login?url=https://www.jstor.org/stable/3511638","Women, Clergy, Britain, America","1987","2022-01-19 18:34:59","2022-01-19 18:34:59","","330-340","","4","28","","","","","","","","","","","","","Acadia","","","","","","/home/cvillami/Zotero/storage/J5DRC7L5/Nason-Clark - 1987 - Are Women Changing the Image of Ministry A Compar.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
