"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IIB7GFQI","journalArticle","2007","MacPherson, Iain S.; MacDonald, Edward","Soul and Body, Sound and Hearty: Getting to Know Bishop Maceachern","Island Magazine","","03848175","","","Catholic, Clergy, Personal correspondence","2007","2022-01-19 18:32:56","2022-01-19 18:32:56","","14-18","","62","","","","","","","","","","","","","","UNBF","","","","","<p>Accession Number: 45889483; MacPherson, Iain S.; MacDonald, Edward; Source Info: Fall/Winter2007, Issue 62, p14; Note: Map, 3 photos, 3 notes, ref.; Historical Period: 1790 to 1832; Subject Term: BISHOPS; Subject Term: LETTERS; Subject Term: SCOTS; Subject: CANADA; Subject: PRINCE Edward Island; Number of Pages: 5p; Document Type: Article</p>; <p>Accession Number: 45889483; MacPherson, Iain S.; MacDonald, Edward; Source Info: Fall/Winter2007, Issue 62, p14; Note: Map, 3 photos, 3 notes, ref.; Historical Period: 1790 to 1832; Subject Term: BISHOPS; Subject Term: LETTERS; Subject Term: SCOTS; Subject: CANADA; Subject: PRINCE Edward Island; Number of Pages: 5p; Document Type: Article</p>","","","CANADA; BISHOPS; CATHOLIC Church; LETTERS; MacEachern, Angus Bernard; PRINCE Edward Island; SCOTS; Walker, Angus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GC7X8WLV","book","2001","Théophile","Pourquoi le ciel visite-t-il la terre?","","978-0-9689127-0-6","","","","Catholic, Doctrine","2001","2022-01-19 18:32:56","2022-01-19 18:32:56","","","198","","","","","","","","","","Theomir Enr.","Rogersville, NB","French","","","Legislative Library, Fredericton, UdeM","","","","","","","","","Catholic Church; Doctrines; Eglise catholique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6UU9KKYD","bookSection","2002","Vautour, Thérèse","Les Sœurs de la Charité de l'Immaculée-Conception à Memramcook","Histoire d'une servante centenaire: Couvent Notre-Dame-du-Sacré-Cœur","2-923016-00-9","","","","Catholic, Women religious","2002","2022-01-19 18:32:56","2022-01-19 18:32:56","","15-57","","","","","","","","","","","Les Éditions de la Francophonie","Moncton, NB","French","","","UdeM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GGIF3MST","book","","Vital, Henri","La Vie mariale des Hospitalièrs de Saint-Joseph au Nouveau-Brunswick","","","","","","Catholic, Medicine","1960s","2022-01-19 18:32:56","2022-01-19 18:32:56","","","44","","","","","","","","","","Province Notre-Dame de l'Assomption, Les Hospitalièrs de Saint-Joseph","Vallée-Lourdes, NB","","","","Legislative Library, Fredericton, UdeM, USainteAnne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBHD4XY4","journalArticle","1956","Mercier, Jean","Les Fondateurs de l'Église canadienne et l'Acadie","Vie française","","","","","","1956-06","2022-01-19 18:32:56","2022-01-19 18:32:56","","289-297","","","10","","","","","","","","","","","","","UdeM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7G5ZPL5R","journalArticle","1950","Mercereau, C. J.","Early Missions Along Bay Chaleur","Report - Canadian Catholic Historical Association","","","","http://www.cchahistory.ca/journal/CCHA1950/Mersereau.pdf","Catholic, Missions","1950","2022-01-19 18:32:56","2022-01-19 18:32:56","","21-31","","","17","","","","","","","","","","","","","UNBF, UdeM, MtA, Acadia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33IBJY9P","book","1979","LaPlante, A. L.","Le College De Bathurst- Chronique- Des Annees 1949 a 1975","","","","","","Catholic, Education","1979","2022-01-19 18:32:56","2022-01-19 18:32:56","","","428","","","","","","","","","","Université de Moncton","Moncton, NB","French","","","UNBF","","","","","","/home/cvillami/Zotero/storage/UMSBL2V4/Le-College-De-Bathurst--Chronique--Des-Annees-1949-a-1975-LaPlante-AL.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXDWKLEN","journalArticle","1941","Caron, I.","Les Pères capucins en Acadie","Bulletin des recherches historiques","","","","","Catholic, Capuchins","1941","2022-01-19 18:32:56","2022-01-19 18:32:56","","128-131","","5","XLVII","","","","","","","","","","","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFTGK8FJ","book","1883","Rogers, James; Catholic Church. Diocese of Chatham","Circular: In Fulfilment of the Canonical Duty Incumbent on All Bishops of the R.C. Church, to Visit Periodically the Apostolic See of Peter the Chief Pastor of the Universal Flock of Christ","","","","","https://archive.org/details/cihm_60670","Bishop (1860-1902 : Rogers)","1883","2022-01-19 18:32:56","2022-01-19 18:32:56","","","","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 60670","","","","N.p.","[Chatham, NB]","English","","","YorkU, UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQ9X3V3T","book","1885","Richard, Marcel-Francois; Societe de colonisation acadienne","Rapport sur la colonisation par le Rév. M. F. Richard, président et trésorier de la Société de colonisation acadienne, pour l'année 1885","","","","","https://catalog.hathitrust.org/Record/100272667","Catholic, Acadian, Migration","1885","2022-01-19 18:32:56","2022-01-19 18:32:56","","","14","","","","","","CIHM/ICMH microfiche series ; no. 13765","","","","Imprimerie du Courrier des provinces Maritimes","Bathurst, NB","French","","","UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
